TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2004,6,4,17,0,10XX CYPRESS ST,Kitsilano,489265.5167,5458236.8472
Break and Enter Commercial,2004,12,24,11,0,11XX CHESTNUT ST,Kitsilano,489369.8502,5458112.3656
Break and Enter Commercial,2005,6,17,1,5,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2006,6,6,3,0,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2007,7,2,2,24,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2016,3,3,5,30,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2016,8,6,21,15,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2021,3,15,4,9,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2022,3,10,23,0,11XX CHESTNUT ST,Kitsilano,489371.2179,5458168.0532
Break and Enter Commercial,2022,4,9,5,0,11XX CHESTNUT ST,Kitsilano,489371.2179,5458168.0532
Break and Enter Commercial,2017,7,21,13,0,12XX CHESTNUT ST,Kitsilano,489366.8328,5458001.4489
Break and Enter Commercial,2004,9,13,17,0,13XX ARBUTUS ST,Kitsilano,488900.4675,5457971.3549
Break and Enter Commercial,2010,10,20,23,30,13XX ARBUTUS ST,Kitsilano,488900.4675,5457971.3549
Break and Enter Commercial,2016,1,13,22,58,13XX ARBUTUS ST,Kitsilano,488900.4675,5457971.3549
Break and Enter Commercial,2016,12,20,3,5,13XX ARBUTUS ST,Kitsilano,488900.4675,5457971.3549
Break and Enter Commercial,2018,9,13,5,11,13XX ARBUTUS ST,Kitsilano,488900.5851,5457975.5879
Break and Enter Commercial,2017,10,6,17,0,13XX CHESTNUT ST,Kitsilano,489353.6758,5457913.1642
Break and Enter Commercial,2020,5,19,18,13,13XX CHESTNUT ST,Kitsilano,489354.2618,5457924.3199
Break and Enter Commercial,2016,5,28,18,11,13XX CYPRESS ST,Kitsilano,489258.087,5457961.6972
Break and Enter Commercial,2020,8,14,11,14,14XX ARBUTUS ST,Kitsilano,488905.6076,5457826.7411
Break and Enter Commercial,2020,12,5,22,0,14XX ARBUTUS ST,Kitsilano,488906.0521,5457842.7812
Break and Enter Commercial,2006,2,3,20,33,14XX CHESTNUT ST,Kitsilano,489359.8987,5457818.8917
Break and Enter Commercial,2013,12,7,22,8,14XX CHESTNUT ST,Kitsilano,489359.8987,5457818.8917
Break and Enter Commercial,2016,9,9,20,0,14XX CHESTNUT ST,Kitsilano,489359.8987,5457818.8917
Break and Enter Commercial,2019,11,20,3,0,14XX CHESTNUT ST,Kitsilano,489359.8987,5457818.8917
Break and Enter Commercial,2021,6,21,3,0,14XX CHESTNUT ST,Kitsilano,489359.8987,5457818.8917
Break and Enter Commercial,2022,7,25,4,35,14XX CHESTNUT ST,Kitsilano,489359.9171,5457819.9543
Break and Enter Commercial,2022,7,26,12,0,14XX CHESTNUT ST,Kitsilano,489359.9171,5457819.9543
Break and Enter Commercial,2018,3,5,17,0,14XX CYPRESS ST,Kitsilano,489245.8136,5457841.6304
Break and Enter Commercial,2019,10,11,15,48,14XX CYPRESS ST,Kitsilano,489245.8136,5457841.6304
Break and Enter Commercial,2019,11,19,9,43,14XX CYPRESS ST,Kitsilano,489245.8136,5457841.6304
